label,potential_home_1,potential_home_2,overall_rating_home_3,overall_rating_home_4,overall_rating_home_5,ball_control_home_5,overall_rating_home_6,potential_home_6,overall_rating_home_7,overall_rating_home_8,overall_rating_home_9,positioning_home_10,overall_rating_home_11,overall_rating_away_1,overall_rating_away_2,overall_rating_away_3,potential_away_3,overall_rating_away_4,marking_away_4,standing_tackle_away_4,overall_rating_away_5,overall_rating_away_6,overall_rating_away_7,overall_rating_away_8,overall_rating_away_9,positioning_away_10,overall_rating_away_11,potential_away_11
1,62.0,61.0,60.0,63.0,62.0,44.0,58.0,66.0,60.0,60.0,60.93181818181818,70.0,61.0,57.0,60.0,64.0,64.0,64.0,74.0,62.0,53.0,63.0,63.0,62.0,56.0,71.0,63.0,64.0
0,57.0,73.0,67.0,64.0,65.0,63.0,67.0,67.0,66.0,61.0,68.0,84.0,65.0,57.0,56.0,62.0,62.0,59.0,53.0,56.0,64.0,53.0,63.0,63.0,63.0,62.0,67.0,67.0
1,68.0,65.0,66.0,65.0,60.0,49.0,59.0,65.0,64.0,55.0,68.0,51.0,57.0,57.0,56.0,64.0,64.0,63.0,20.0,32.0,52.0,63.0,56.0,62.0,64.0,53.0,67.0,71.0
2,65.0,67.0,59.0,57.0,57.97058823529412,51.01960784313726,61.0,61.0,63.0,58.0,60.0,65.0,64.0,61.0,64.0,63.0,63.0,64.0,74.0,62.0,58.0,56.0,63.0,59.0,64.0,61.0,63.0,64.0
2,69.0,69.0,61.0,63.0,61.0,42.0,65.0,67.0,59.0,52.0,67.0,71.0,65.0,61.0,64.0,63.0,63.0,64.0,74.0,62.0,58.0,59.0,63.0,56.0,64.0,61.0,55.0,62.0
0,66.0,61.0,62.0,62.0,60.0,64.0,61.0,61.0,59.0,60.0,54.0,44.0,62.0,61.0,52.0,63.0,63.0,64.0,74.0,62.0,58.0,63.0,56.0,55.0,64.0,61.0,67.0,71.0
2,59.0,65.0,65.0,58.0,50.0,37.0,64.0,67.0,62.0,65.0,65.0,68.0,60.0,61.0,64.0,63.0,63.0,64.0,74.0,62.0,58.0,63.0,56.0,62.7037037037037,64.0,61.0,55.0,62.0
1,69.0,70.0,66.0,66.0,65.0,64.0,67.0,67.0,63.0,64.0,67.0,58.0,73.0,61.0,64.0,63.0,63.0,64.0,74.0,62.0,58.0,63.0,56.0,63.0,64.0,65.125,63.0,64.0
0,64.0,64.0,65.0,66.0,60.0,56.0,54.0,67.0,65.0,65.0,62.0,68.0,64.0,61.0,52.0,63.0,63.0,64.0,74.0,62.0,58.0,63.0,56.0,62.7037037037037,64.0,61.0,63.0,64.0
1,75.0,73.0,66.0,66.0,68.0,59.0,67.0,67.0,65.0,66.0,71.0,63.0,65.0,61.0,53.0,63.0,63.0,64.0,74.0,62.0,58.0,63.0,56.0,62.7037037037037,64.0,71.0,63.0,64.0
